20 # Version
# Nom	Codi	Data	Web	Nom_Empresa	Ratxa[0,1]
#
# Catalunya
Santa Pola	santapolacabo	28/05/2016	http://www.cabodesantapola.org/	Cabo de Santa Pola	1	38.22118	-0.51579
Torrevieja	torreviejasetsaas	28/05/2016	http://www.weatherlink.com/user/setsaas	WeatherLink	1	37.97589	-0.68178
# Torrevieja - Acequión	mastral/acequion	5/9/2013	http://www.eltiempoentorrevieja.es/	Proyecto Mastral	1	37.980314	-0.688938	# nou
# Torrevieja - Los Locos
Boya palos	puertos/palos	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	37.65	-0.31
#
# Balears
Ciutadella	meteoclimatic/ciutadellamenorca	28/05/2016	http://www.meteoclimatic.net/perfil/ESIBA0700000307760A	Meteoclimatic	1	39.99472	3.83361
Mahón	puertos/maho	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	39.89314	4.27037
Boya Mahón	puertos/mahoboya	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	39.71	4.42
Alcudia	puertos/alcudia	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	39.83472	3.13908
Es Rajoli	mallorca/eurotel	28/05/2016	http://www.meteodemallorca.com/	Meteo de Mallorca	1	39.63582	3.41443
Cala Millor	mallorca/calamillor	28/05/2016	http://www.meteodemallorca.com/	Meteo de Mallorca	1	39.59952	3.38471
Portopetro	mallorca/portopetro	28/05/2016	http://www.meteodemallorca.com/	Meteo de Mallorca	1	39.36111	3.321033
Cala Gamba	cncg	28/05/2016	28/05/2016	http://www.cncg.es/	CN Cala Gamba	1	39.54654	2.69422
Palma	puertos/palmamall	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	39.56024	2.63744
Andratx	cvpa	3/10/2012	http://www.cvpa.es/	CV Puerto de Andratx	1	39.54581	2.38317
Boya dragonera	puertos/dragonera	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	39.55	2.10
Santa Eulalia des Riu	meteoclimatic/staeulaliario	28/05/2016	http://www.meteoclimatic.net/perfil/ESIBA0700000207840A	Meteoclimatic	1	38.98472	1.53388
Ibiza Puerto	puertos/ibiza	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	38.91143	1.4495
Ibiza Pilot	ibizapilot	28/05/2016	http://www.weatherlink.com/user/ibizapilot	WeatherLink	1	38.90332	1.44749
Formentera	puertos/formentera	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	38.73469	1.41896
#
# Andalucia
Carboneras	puertos/carboneras	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.97531	-1.9
Roldán	puertos/roldan	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.942	-1.90724
Boya Gata	puertos/gata	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.57	-2.34
Almeria	puertos/almeria	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.832	-2.48
Almeria 2	puertos/almeria2	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.83024	-2.47827
Herradura	herradura	28/05/2016	http://www.marinasmediterraneo.com/	Marinas del Mediterráneo	1	36.72416	-3.73487
Málaga	malaga	28/05/2016	http://www.weatherlink.com/user/tds	WeatherLink	1	36.70682	-4.42521
Puerto Banus	marbella	28/05/2016	http://www.meteopuertobanus.es/	Meteo Puerto Banus	1	36.4898	-4.94905
Campamento	puertos/campamento	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.17224	-5.38111
Algeciras	puertos/algeciras	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.177727	-5.39806
Endesa	puertos/endesa	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.17335	-5.41977
Abrigo	puertos/abrigo	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.13621	-5.43033
Exento Norte	puertos/exentoN	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.13572	-5.41703
Exento Sur	puertos/exentoS	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.1186	-5.41634
Punta Carnero	puertos/carnero	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.0774	-5.42724
Tarifa	puertos/tarifa	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.01043	-5.60244
Tarifa Dique	puertos/tarifaDique	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.00816	-5.60116
Gallineras	cnga	20/11/2012	http://www.cngallineras.es/index.php/el-tiempo	CN Gallineras	0	36.440151	-6.207134
Boya Cadiz	puertos/cadizBoya	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	36.49	-6.96
#
# Nord
Zumaia	zumaia	28/05/2016	http://www.weatherlink.com/user/salvetzumaia1	WeatherLink	1	43.29704	-2.25644
Getxo	getxo	28/05/2016	http://www.rcmarsc.es/	RCMA RSC	1	43.32979	-3.01548
Boya bilbao	puertos/bilbao	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	43.64	-3.04
Santander	santander	28/05/2016	http://tiempo.fiochi.com/	Fiochi	1	43.4623	-3.81
Boya Santander	puertos/santander	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	43.89	-3.78
Gijón	puertos/gijon2	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	43.559	-5.699
